순위,제목,가수,앨범
1,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
2,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
3,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
4,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
5,ELEVEN,IVE (아이브),ELEVEN
6,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. by TOIL),베이식,쇼미더머니 10 Episode 3
7,매일 크리스마스 (Everyday Christmas),다비치,매일 크리스마스 (Everyday Christmas)
8,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
9,불협화음 (Feat. AKMU) (Prod. by GRAY),Mudd the student,쇼미더머니 10 Semi Final
10,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
11,문득,BE'O (비오),Bipolar
12,취중고백,김민석 (멜로망스),취중고백
13,strawberry moon,아이유 (IU),strawberry moon
14,신호등,이무진,신호등
15,쉬어 (Feat. MINO) (Prod. by GRAY),아넌딜라이트 (Anandelight) & Unofficialboyy & BE'O (비오) & 지구인 & Mudd The Student,쇼미더머니 10 Episode 1
16,눈이 오잖아 (Feat. 헤이즈),이무진,눈이 오잖아
17,Santa Tell Me,Ariana Grande,Santa Tell Me
18,Stay,The Kid LAROI & Justin Bieber,Stay
19,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
20,흰눈,먼데이 키즈 (Monday Kiz),흰눈
21,Wake Up (Prod. by 코드 쿤스트),개코 & 아우릴고트 (OUREALGOAT) & SINCE & 안병웅 & Tabber & 조광일,쇼미더머니 10 Episode 1
22,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
23,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
24,Savage,aespa,Savage - The 1st Mini Album
25,너를 생각해,주시크 (Joosiq),너를 생각해
26,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
27,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
28,그대라는 사치,임영웅,사랑의 콜센타 PART62
29,네가 없는 밤 (Feat. ASH ISLAND) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Final
30,크리스마스니까,성시경 & 박효신 & 이석훈 & 서인국 & VIXX (빅스),Jelly Christmas 2012 HEART PROJECT
31,Next Level,aespa,Next Level
32,잊었니,임영웅,사랑의 콜센타 PART60
33,끝사랑,임영웅,사랑의 콜센타 PART61
34,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition)
35,HERO,임영웅,HERO
36,Bk Love,임영웅,뽕숭아학당 PART23
37,미리 메리 크리스마스 (Feat. 천둥 of MBLAQ),아이유 (IU),REAL
38,Hey Mama (Feat. Nicki Minaj & Bebe Rexha & Afrojack),David Guetta,Listen (Deluxe)
39,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
40,My Universe,Coldplay & 방탄소년단,My Universe
41,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
42,Still I Love You,토요태,Still I Love You
43,Butter,방탄소년단,Butter
44,Permission to Dance,방탄소년단,Butter / Permission to Dance
45,고백,멜로망스 (MeloMance),세 번째 '고백'
46,계단말고 엘리베이터,임영웅,계단말고 엘리베이터
47,Bad Habits,Ed Sheeran,=
48,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
49,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
50,Last Christmas,Wham!,George Michael & Wham! Last Christmas : The Original Motion Picture Soundtrack (영화 '라스트 크리스마스' OST)
51,MBTI (Feat. 쿠기 & 로꼬) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Semi Final
52,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),Red Moon : Beyond The Light
53,Christmas Tree,V,그 해 우리는 OST Part.5
54,Weekend,태연 (TAEYEON),Weekend
55,Dreams Come True,aespa,Dreams Come True - SM STATION
56,Tiny Riot,Sam Ryder,The Sun's Gonna Rise
57,라일락,아이유 (IU),IU 5th Album 'LILAC'
58,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
59,헤픈 우연,헤이즈 (Heize),HAPPEN
60,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix
61,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌 (K.Will),시간을 거슬러 (낮에 뜨는 달 X 케이윌)
62,"19금
                                        
                                        
                                        
                                            
                                                Peaches (Feat. Daniel Caesar & Giveon)",Justin Bieber,Justice
63,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin'
64,안녕 우린 헤어져야만 해,전상근 & 신예영,안녕 우린 헤어져야만 해
65,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
66,호우주의 (Feat. 개코 & 넉살 (Nucksal)) (Prod. by 코드 쿤스트),조광일,쇼미더머니 10 Semi Final
67,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마)
68,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
69,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스 (MeloMance),그게 더 편할 것 같아 (N번째 연애 X 멜로망스)
70,이별후회,김나영,그 해 우리는 OST Part.4
71,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
72,2002,Anne-Marie,Speak Your Mind (Deluxe)
73,깐부 (Feat. 염따 & ASH ISLAND) (Prod. by TOIL),쿤타 (Koonta),쇼미더머니 10 Episode 3
74,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
75,너와 나의 Memories,염따 & TOIL & 쿤타 & 베이식 (Basick) & 365LIT & 황지상 & 송민영,쇼미더머니 10 Episode 1
76,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,Savage Love (Laxed - Siren Beat) (BTS Remix)
77,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5 (tvN 목요드라마)
